Date,Department,Age,Employees
201203,Canada Revenue Agency,50-54,8359
201303,Canada Revenue Agency,50-54,8220
201206,Canada Revenue Agency,50-54,8193
200806,Canada Revenue Agency,45-49,8135
200803,Canada Revenue Agency,45-49,8087
201212,Canada Revenue Agency,50-54,8079
200903,Canada Revenue Agency,45-49,8063
201103,Canada Revenue Agency,50-54,8029
201306,Canada Revenue Agency,50-54,8026
201209,Canada Revenue Agency,50-54,8014
201003,Canada Revenue Agency,45-49,7986
201403,Canada Revenue Agency,50-54,7915
201003,Canada Revenue Agency,50-54,7911
200906,Canada Revenue Agency,45-49,7891
201106,Canada Revenue Agency,50-54,7851
201312,Canada Revenue Agency,50-54,7845
201112,Canada Revenue Agency,50-54,7842
201309,Canada Revenue Agency,50-54,7815
201406,Canada Revenue Agency,50-54,7811
200812,Canada Revenue Agency,45-49,7808
200809,Canada Revenue Agency,45-49,7802
201109,Canada Revenue Agency,50-54,7701
201006,Canada Revenue Agency,50-54,7680
200909,Canada Revenue Agency,45-49,7655
200912,Canada Revenue Agency,45-49,7616
201012,Canada Revenue Agency,50-54,7602
201412,Canada Revenue Agency,50-54,7600
201503,Canada Revenue Agency,50-54,7588
201006,Canada Revenue Agency,45-49,7586
201409,Canada Revenue Agency,50-54,7569
201009,Canada Revenue Agency,50-54,7515
201103,Canada Revenue Agency,45-49,7481
200912,Canada Revenue Agency,50-54,7456
200903,Canada Revenue Agency,50-54,7448
200906,Canada Revenue Agency,50-54,7441
201506,Canada Revenue Agency,50-54,7383
201009,Canada Revenue Agency,45-49,7287
201012,Canada Revenue Agency,45-49,7284
200806,Canada Revenue Agency,50-54,7280
200909,Canada Revenue Agency,50-54,7267
201203,Canada Revenue Agency,45-49,7264
201603,Canada Revenue Agency,50-54,7258
201512,Canada Revenue Agency,50-54,7250
200803,Canada Revenue Agency,50-54,7213
201509,Canada Revenue Agency,50-54,7159
201106,Canada Revenue Agency,45-49,7152
200812,Canada Revenue Agency,50-54,7096
200809,Canada Revenue Agency,50-54,6951
201109,Canada Revenue Agency,45-49,6935
201112,Canada Revenue Agency,45-49,6921
201206,Canada Revenue Agency,45-49,6899
201303,Canada Revenue Agency,45-49,6717
201212,Canada Revenue Agency,45-49,6712
201209,Canada Revenue Agency,45-49,6704
201306,Canada Revenue Agency,45-49,6522
201403,Canada Revenue Agency,45-49,6426
201312,Canada Revenue Agency,45-49,6362
201309,Canada Revenue Agency,45-49,6333
201406,Canada Revenue Agency,45-49,6223
200803,Canada Revenue Agency,40-44,6193
201503,Canada Revenue Agency,45-49,6146
200903,Canada Revenue Agency,40-44,6097
200806,Canada Revenue Agency,40-44,6044
201412,Canada Revenue Agency,45-49,6023
201506,Canada Revenue Agency,45-49,6003
201409,Canada Revenue Agency,45-49,5992
201103,National Defence,50-54,5991
201603,Canada Revenue Agency,45-49,5979
201112,National Defence,50-54,5964
201106,National Defence,50-54,5930
201109,National Defence,50-54,5919
201003,Canada Revenue Agency,40-44,5885
201012,National Defence,50-54,5881
200812,Canada Revenue Agency,40-44,5848
201512,Canada Revenue Agency,45-49,5840
200906,Canada Revenue Agency,40-44,5825
201009,National Defence,50-54,5819
201003,National Defence,50-54,5808
201509,Canada Revenue Agency,45-49,5799
201003,National Defence,45-49,5786
200912,National Defence,50-54,5777
200909,National Defence,45-49,5765
200909,National Defence,50-54,5764
200912,National Defence,45-49,5763
200809,Canada Revenue Agency,40-44,5760
200903,National Defence,45-49,5754
201006,National Defence,50-54,5746
201603,Canada Revenue Agency,55-59,5741
201203,National Defence,50-54,5679
200906,National Defence,45-49,5677
201009,National Defence,45-49,5677
201006,National Defence,45-49,5670
200812,National Defence,45-49,5665
200903,National Defence,50-54,5661
200906,National Defence,50-54,5656
200909,Canada Revenue Agency,40-44,5655
201012,National Defence,45-49,5652
201503,Canada Revenue Agency,55-59,5651
201103,National Defence,45-49,5629
201103,Canada Revenue Agency,40-44,5623
201512,Canada Revenue Agency,55-59,5618
201203,Canada Revenue Agency,40-44,5614
200912,Canada Revenue Agency,40-44,5609
201006,Canada Revenue Agency,40-44,5562
201506,Canada Revenue Agency,55-59,5553
201303,National Defence,50-54,5538
200812,National Defence,50-54,5535
200809,National Defence,45-49,5534
201212,National Defence,50-54,5522
201406,Canada Revenue Agency,55-59,5520
201106,National Defence,45-49,5518
201209,National Defence,50-54,5513
201206,National Defence,50-54,5501
